delivery_finished,delivery_started,total_delivery_time,status,number_of_obstacles,item_request_id
2024-12-05 16:00:00,2024-12-05 15:55:00,5,COMPLETED,0,1
2024-08-08 13:00:00,2024-08-08 12:55:00,5,COMPLETED,5,2
2024-05-20 15:00:00,2024-05-20 14:55:00,5,COMPLETED,3,3
2024-04-15 18:00:00,2024-04-15 17:55:00,5,COMPLETED,5,4
2024-04-19 14:00:00,2024-04-19 13:55:00,5,COMPLETED,4,5
2024-02-19 14:00:00,2024-02-19 13:55:00,5,COMPLETED,5,6
2024-11-28 14:00:00,2024-11-28 13:55:00,5,COMPLETED,5,7
2024-03-26 19:00:00,2024-03-26 18:55:00,5,COMPLETED,4,8
2024-05-17 19:00:00,2024-05-17 18:55:00,5,COMPLETED,4,9
2024-07-30 12:00:00,2024-07-30 11:55:00,5,COMPLETED,5,10
2024-12-14 15:00:00,2024-12-14 14:54:00,6,COMPLETED,4,11
2024-05-21 12:00:00,2024-05-21 11:54:00,6,COMPLETED,5,12
2024-04-04 18:00:00,2024-04-04 17:54:00,6,COMPLETED,4,13
2024-06-04 16:00:00,2024-06-04 15:54:00,6,COMPLETED,6,14
2024-07-29 19:00:00,2024-07-29 18:54:00,6,COMPLETED,4,15
2024-05-07 17:00:00,2024-05-07 16:54:00,6,COMPLETED,6,16
2024-09-24 17:00:00,2024-09-24 16:54:00,6,COMPLETED,5,17
2024-08-29 12:00:00,2024-08-29 11:54:00,6,COMPLETED,6,18
2024-03-01 18:00:00,2024-03-01 17:54:00,6,COMPLETED,6,19
2024-10-31 15:00:00,2024-10-31 14:54:00,6,COMPLETED,6,20
2024-01-11 15:00:00,2024-01-11 14:54:00,6,COMPLETED,6,21
2024-12-06 18:00:00,2024-12-06 17:51:00,9,COMPLETED,5,22
2024-10-05 12:00:00,2024-10-05 11:51:00,9,COMPLETED,7,23
2024-12-18 10:00:00,2024-12-18 09:50:00,10,COMPLETED,8,24
2024-08-29 14:00:00,2024-08-29 13:50:00,10,COMPLETED,10,25
2024-03-19 13:00:00,2024-03-19 12:50:00,10,COMPLETED,10,26
2024-04-20 14:00:00,2024-04-20 13:50:00,10,COMPLETED,10,27
2024-01-06 19:00:00,2024-01-06 18:50:00,10,COMPLETED,10,28
2024-11-07 11:00:00,2024-11-07 10:50:00,10,COMPLETED,9,29
2024-05-29 19:00:00,2024-05-29 18:50:00,10,COMPLETED,9,30
2024-05-13 19:00:00,2024-05-13 18:50:00,10,COMPLETED,10,31
2024-05-28 18:00:00,2024-05-28 17:50:00,10,COMPLETED,10,32
2024-06-15 15:00:00,2024-06-15 14:50:00,10,COMPLETED,10,33
2024-04-27 18:00:00,2024-04-27 17:57:00,3,COMPLETED,2,34
2024-03-26 17:00:00,2024-03-26 16:57:00,3,COMPLETED,1,35
2024-03-05 18:00:00,2024-03-05 17:57:00,3,COMPLETED,1,36
2024-06-30 15:00:00,2024-06-30 14:57:00,3,COMPLETED,1,37
2024-06-04 13:00:00,2024-06-04 12:57:00,3,COMPLETED,2,38
2024-10-10 15:00:00,2024-10-10 14:57:00,3,COMPLETED,1,39
2024-02-12 16:00:00,2024-02-12 15:57:00,3,COMPLETED,1,40
2024-02-03 18:00:00,2024-02-03 17:57:00,3,COMPLETED,1,41
2024-02-14 10:00:00,2024-02-14 09:57:00,3,COMPLETED,2,42
2024-01-02 12:00:00,2024-01-02 11:57:00,3,COMPLETED,1,43
2024-05-21 12:00:00,2024-05-21 11:57:00,3,COMPLETED,1,44
2024-02-25 10:00:00,2024-02-25 09:57:00,3,COMPLETED,1,45
2024-05-10 16:00:00,2024-05-10 15:57:00,3,COMPLETED,1,46
