delivery_id,item_request_id,delivery_finished,delivery_started,total_delivery_time,status,number_of_obstacles,path
1,28,2024-12-12 18:08:02,2024-12-12 18:07:32,30,COMPLETED,0,Path 1
2,1,2024-12-12 18:56:11,2024-12-12 18:55:32,39,COMPLETED,3,Path 1
3,25,2024-12-12 17:03:01,2024-12-12 17:02:28,33,COMPLETED,1,Path 1
4,19,2024-12-12 16:12:52,2024-12-12 16:12:13,39,COMPLETED,3,Path 1
5,46,2024-12-12 18:49:21,2024-12-12 18:48:48,33,COMPLETED,1,Path 1
6,15,2024-12-12 16:52:21,2024-12-12 16:51:51,30,COMPLETED,0,Path 1
7,15,2024-12-12 16:09:43,2024-12-12 16:09:07,36,COMPLETED,2,Path 1
8,21,2024-12-12 17:54:03,2024-12-12 17:53:30,33,COMPLETED,1,Path 1
9,39,2024-12-12 17:53:28,2024-12-12 17:52:58,30,COMPLETED,0,Path 1
10,13,2024-12-12 16:03:30,2024-12-12 16:02:51,39,COMPLETED,3,Path 1
11,8,2024-12-12 16:12:33,2024-12-12 16:11:51,42,COMPLETED,4,Path 1
12,34,2024-12-12 16:47:38,2024-12-12 16:46:59,39,COMPLETED,3,Path 1
13,23,2024-12-12 17:20:13,2024-12-12 17:19:37,36,COMPLETED,2,Path 1
14,1,2024-12-12 17:50:04,2024-12-12 17:49:25,39,COMPLETED,3,Path 1
15,32,2024-12-12 18:03:37,2024-12-12 18:03:04,33,COMPLETED,1,Path 1
16,50,2024-12-12 16:13:40,2024-12-12 16:13:09,31,COMPLETED,2,Path 2
17,38,2024-12-12 16:54:50,2024-12-12 16:54:25,25,COMPLETED,0,Path 2
18,19,2024-12-12 18:15:36,2024-12-12 18:15:02,34,COMPLETED,3,Path 2
19,3,2024-12-12 18:38:49,2024-12-12 18:38:15,34,COMPLETED,3,Path 2
20,4,2024-12-12 17:02:01,2024-12-12 17:01:36,25,COMPLETED,0,Path 2
21,34,2024-12-12 17:17:39,2024-12-12 17:17:14,25,COMPLETED,0,Path 2
22,34,2024-12-12 16:09:29,2024-12-12 16:08:58,31,COMPLETED,2,Path 2
23,26,2024-12-12 18:25:01,2024-12-12 18:24:36,25,COMPLETED,0,Path 2
24,15,2024-12-12 18:45:26,2024-12-12 18:44:58,28,COMPLETED,1,Path 2
25,36,2024-12-12 18:51:47,2024-12-12 18:51:13,34,COMPLETED,3,Path 2
26,2,2024-12-12 16:09:12,2024-12-12 16:08:38,34,COMPLETED,3,Path 2
27,37,2024-12-12 17:04:17,2024-12-12 17:03:43,34,COMPLETED,3,Path 2
28,44,2024-12-12 18:33:57,2024-12-12 18:33:32,25,COMPLETED,0,Path 2
29,42,2024-12-12 18:19:20,2024-12-12 18:18:49,31,COMPLETED,2,Path 2
30,47,2024-12-12 17:47:40,2024-12-12 17:47:06,34,COMPLETED,3,Path 2
31,34,2024-12-12 16:32:08,2024-12-12 16:31:39,29,COMPLETED,3,Path 3
32,5,2024-12-12 16:19:59,2024-12-12 16:19:30,29,COMPLETED,3,Path 3
33,26,2024-12-12 18:46:22,2024-12-12 18:45:53,29,COMPLETED,3,Path 3
34,31,2024-12-12 16:30:13,2024-12-12 16:29:53,20,COMPLETED,0,Path 3
35,10,2024-12-12 16:35:47,2024-12-12 16:35:21,26,COMPLETED,2,Path 3
36,26,2024-12-12 16:29:22,2024-12-12 16:28:59,23,COMPLETED,1,Path 3
37,27,2024-12-12 18:21:27,2024-12-12 18:20:58,29,COMPLETED,3,Path 3
38,10,2024-12-12 18:12:35,2024-12-12 18:12:09,26,COMPLETED,2,Path 3
39,28,2024-12-12 18:17:33,2024-12-12 18:17:10,23,COMPLETED,1,Path 3
40,25,2024-12-12 17:34:00,2024-12-12 17:33:34,26,COMPLETED,2,Path 3
41,6,2024-12-12 16:20:02,2024-12-12 16:19:39,23,COMPLETED,1,Path 3
42,7,2024-12-12 16:27:51,2024-12-12 16:27:25,26,COMPLETED,2,Path 3
43,8,2024-12-12 18:25:42,2024-12-12 18:25:19,23,COMPLETED,1,Path 3
44,4,2024-12-12 17:35:04,2024-12-12 17:34:35,29,COMPLETED,3,Path 3
45,24,2024-12-12 16:04:10,2024-12-12 16:03:44,26,COMPLETED,2,Path 3
