item_name,path,request_time,status,employee_id
Headphone,PATH2,2024-09-15 06:47:27,FULFILLED,1
Printer,PATH1,2024-10-19 14:45:22,FULFILLED,1
Laptop,PATH3,2024-09-28 11:30:18,FULFILLED,1
Printer,PATH3,2024-11-02 07:25:42,FULFILLED,1
Laptop,PATH2,2024-11-03 21:47:30,FULFILLED,1
Tablet,PATH1,2024-11-27 10:27:59,FULFILLED,1
Speaker,PATH1,2024-09-05 03:47:22,FULFILLED,1
Mouse,PATH3,2024-09-13 15:32:31,FULFILLED,1
Printer,PATH1,2024-09-19 14:47:19,FULFILLED,1
Tablet,PATH2,2024-09-29 06:59:15,FULFILLED,1
Tablet,PATH3,2024-11-26 05:50:55,FULFILLED,1
Printer,PATH3,2024-10-28 08:52:48,FULFILLED,1
Printer,PATH3,2024-09-09 06:36:51,FULFILLED,1
Headphone,PATH1,2024-09-14 14:23:25,FULFILLED,1
Laptop,PATH3,2024-09-10 05:27:04,FULFILLED,1
Tablet,PATH2,2024-10-04 03:37:37,FULFILLED,1
Laptop,PATH1,2024-09-30 12:41:17,FULFILLED,1
Tablet,PATH1,2024-09-05 20:40:17,FULFILLED,1
Mouse,PATH2,2024-09-20 20:50:10,FULFILLED,1
Printer,PATH2,2024-11-29 10:25:08,FULFILLED,1
Monitor,PATH2,2024-10-17 14:59:24,FULFILLED,1
Laptop,PATH3,2024-11-17 02:05:19,FULFILLED,1
Printer,PATH3,2024-09-29 12:34:38,FULFILLED,1
Laptop,PATH2,2024-11-02 02:19:20,FULFILLED,1
Speaker,PATH3,2024-09-15 02:09:56,FULFILLED,1
Mouse,PATH2,2024-09-21 23:15:09,FULFILLED,1
Printer,PATH2,2024-10-18 16:29:35,FULFILLED,1
Mouse,PATH2,2024-10-09 06:53:09,FULFILLED,1
Headphone,PATH1,2024-09-04 04:37:37,FULFILLED,1
Printer,PATH1,2024-11-05 10:44:53,FULFILLED,1
Printer,PATH1,2024-09-04 12:46:48,FULFILLED,1
Monitor,PATH2,2024-09-17 06:00:53,FULFILLED,1
Tablet,PATH2,2024-10-10 12:01:08,FULFILLED,1
Printer,PATH2,2024-10-26 07:16:00,FULFILLED,1
Mouse,PATH1,2024-09-09 01:03:40,FULFILLED,1
Laptop,PATH3,2024-12-01 14:52:31,FULFILLED,1
Mouse,PATH3,2024-09-15 17:56:55,FULFILLED,1
Speaker,PATH2,2024-11-06 19:06:10,FULFILLED,1
Headphone,PATH2,2024-11-15 19:43:04,FULFILLED,1
Monitor,PATH1,2024-10-27 15:51:57,FULFILLED,1
Printer,PATH2,2024-10-12 04:08:16,FULFILLED,1
Monitor,PATH1,2024-09-23 07:43:18,FULFILLED,1
Monitor,PATH2,2024-09-25 00:27:05,FULFILLED,1
Monitor,PATH3,2024-10-18 18:31:30,FULFILLED,1
Tablet,PATH1,2024-10-24 01:46:52,FULFILLED,1
Laptop,PATH1,2024-09-11 06:53:08,FULFILLED,1
Printer,PATH2,2024-10-21 00:53:03,FULFILLED,1
Printer,PATH1,2024-11-18 22:25:54,FULFILLED,1
Printer,PATH1,2024-11-28 21:14:09,FULFILLED,1
Tablet,PATH1,2024-11-21 21:55:15,FULFILLED,1
Monitor,PATH3,2024-10-03 07:43:33,FULFILLED,1
Headphone,PATH2,2024-10-11 14:48:18,FULFILLED,1
Monitor,PATH1,2024-09-08 12:21:18,FULFILLED,1
Laptop,PATH1,2024-11-14 22:16:18,FULFILLED,1
Headphone,PATH1,2024-10-22 22:04:27,FULFILLED,1
Monitor,PATH1,2024-10-10 07:26:20,FULFILLED,1
Laptop,PATH3,2024-09-09 03:58:25,FULFILLED,1
Laptop,PATH1,2024-11-20 01:30:16,FULFILLED,1
Monitor,PATH2,2024-10-23 11:13:35,FULFILLED,1
Printer,PATH2,2024-10-16 06:40:24,FULFILLED,1
Mouse,PATH1,2024-10-19 00:26:44,FULFILLED,1
Mouse,PATH2,2024-11-13 23:16:20,FULFILLED,1
Mouse,PATH3,2024-10-29 02:27:17,FULFILLED,1
Speaker,PATH2,2024-10-06 09:54:25,FULFILLED,1
Printer,PATH1,2024-09-11 10:32:44,FULFILLED,1
Tablet,PATH2,2024-11-28 05:08:17,FULFILLED,1
Mouse,PATH1,2024-11-12 00:21:21,FULFILLED,1
Headphone,PATH2,2024-10-21 05:58:35,FULFILLED,1
Mouse,PATH3,2024-09-07 01:41:26,FULFILLED,1
Headphone,PATH3,2024-11-03 18:57:10,FULFILLED,1
Headphone,PATH1,2024-10-26 13:57:23,FULFILLED,1
Printer,PATH2,2024-11-10 00:53:51,FULFILLED,1
Laptop,PATH3,2024-10-28 02:01:06,FULFILLED,1
Mouse,PATH2,2024-10-19 17:32:04,FULFILLED,1
Tablet,PATH3,2024-09-23 12:42:21,FULFILLED,1
Mouse,PATH1,2024-11-16 07:23:22,FULFILLED,1
Printer,PATH2,2024-10-02 11:52:32,FULFILLED,1
Monitor,PATH3,2024-10-16 20:03:10,FULFILLED,1
Mouse,PATH3,2024-11-18 20:21:05,FULFILLED,1
Speaker,PATH3,2024-10-23 01:17:52,FULFILLED,1
Monitor,PATH2,2024-10-18 06:25:35,FULFILLED,1
Monitor,PATH3,2024-11-08 13:19:56,FULFILLED,1
Tablet,PATH2,2024-10-06 02:52:36,FULFILLED,1
Printer,PATH1,2024-10-06 12:31:13,FULFILLED,1
Headphone,PATH2,2024-11-24 12:48:12,FULFILLED,1
Speaker,PATH2,2024-11-27 03:37:10,FULFILLED,1
Mouse,PATH2,2024-10-12 20:08:23,FULFILLED,1
Monitor,PATH3,2024-09-03 10:56:35,FULFILLED,1
Mouse,PATH3,2024-11-30 01:49:44,FULFILLED,1
Printer,PATH1,2024-11-21 20:06:07,FULFILLED,1
Monitor,PATH1,2024-11-19 05:00:09,FULFILLED,1
Monitor,PATH1,2024-11-05 06:40:01,FULFILLED,1
