delivery_id,item_request_id,delivery_finished,delivery_started,total_delivery_time,status,number_of_obstacles
1,18,2024-12-05 16:00:00,2024-12-05 15:55:00,5,COMPLETED,0
2,40,2024-08-08 13:00:00,2024-08-08 12:55:00,5,COMPLETED,5
3,2,2024-05-20 15:00:00,2024-05-20 14:55:00,5,COMPLETED,3
4,34,2024-04-15 18:00:00,2024-04-15 17:55:00,5,COMPLETED,5
5,23,2024-04-19 14:00:00,2024-04-19 13:55:00,5,COMPLETED,4
6,46,2024-02-19 14:00:00,2024-02-19 13:55:00,5,COMPLETED,5
7,33,2024-11-28 14:00:00,2024-11-28 13:55:00,5,COMPLETED,5
8,42,2024-03-26 19:00:00,2024-03-26 18:55:00,5,COMPLETED,4
9,20,2024-05-17 19:00:00,2024-05-17 18:55:00,5,COMPLETED,4
10,49,2024-07-30 12:00:00,2024-07-30 11:55:00,5,COMPLETED,5
11,16,2024-12-14 15:00:00,2024-12-14 14:54:00,6,COMPLETED,4
12,43,2024-05-21 12:00:00,2024-05-21 11:54:00,6,COMPLETED,5
13,2,2024-04-04 18:00:00,2024-04-04 17:54:00,6,COMPLETED,4
14,26,2024-06-04 16:00:00,2024-06-04 15:54:00,6,COMPLETED,6
15,36,2024-07-29 19:00:00,2024-07-29 18:54:00,6,COMPLETED,4
16,20,2024-05-07 17:00:00,2024-05-07 16:54:00,6,COMPLETED,6
17,35,2024-09-24 17:00:00,2024-09-24 16:54:00,6,COMPLETED,5
18,44,2024-08-29 12:00:00,2024-08-29 11:54:00,6,COMPLETED,6
19,44,2024-03-01 18:00:00,2024-03-01 17:54:00,6,COMPLETED,6
20,18,2024-10-31 15:00:00,2024-10-31 14:54:00,6,COMPLETED,6
21,33,2024-01-11 15:00:00,2024-01-11 14:54:00,6,COMPLETED,6
22,5,2024-12-06 18:00:00,2024-12-06 17:51:00,9,COMPLETED,5
23,46,2024-10-05 12:00:00,2024-10-05 11:51:00,9,COMPLETED,7
24,38,2024-12-18 10:00:00,2024-12-18 09:50:00,10,COMPLETED,8
25,39,2024-08-29 14:00:00,2024-08-29 13:50:00,10,COMPLETED,10
26,19,2024-03-19 13:00:00,2024-03-19 12:50:00,10,COMPLETED,10
27,38,2024-04-20 14:00:00,2024-04-20 13:50:00,10,COMPLETED,10
28,20,2024-01-06 19:00:00,2024-01-06 18:50:00,10,COMPLETED,10
29,31,2024-11-07 11:00:00,2024-11-07 10:50:00,10,COMPLETED,9
30,40,2024-05-29 19:00:00,2024-05-29 18:50:00,10,COMPLETED,9
31,37,2024-05-13 19:00:00,2024-05-13 18:50:00,10,COMPLETED,10
32,12,2024-05-28 18:00:00,2024-05-28 17:50:00,10,COMPLETED,10
33,3,2024-06-15 15:00:00,2024-06-15 14:50:00,10,COMPLETED,10
34,11,2024-04-27 18:00:00,2024-04-27 17:57:00,3,COMPLETED,2
35,37,2024-03-26 17:00:00,2024-03-26 16:57:00,3,COMPLETED,1
36,21,2024-03-05 18:00:00,2024-03-05 17:57:00,3,COMPLETED,1
37,31,2024-06-30 15:00:00,2024-06-30 14:57:00,3,COMPLETED,1
38,7,2024-06-04 13:00:00,2024-06-04 12:57:00,3,COMPLETED,2
39,32,2024-10-10 15:00:00,2024-10-10 14:57:00,3,COMPLETED,1
40,45,2024-02-12 16:00:00,2024-02-12 15:57:00,3,COMPLETED,1
41,17,2024-02-03 18:00:00,2024-02-03 17:57:00,3,COMPLETED,1
42,26,2024-02-14 10:00:00,2024-02-14 09:57:00,3,COMPLETED,2
43,8,2024-01-02 12:00:00,2024-01-02 11:57:00,3,COMPLETED,1
44,18,2024-05-21 12:00:00,2024-05-21 11:57:00,3,COMPLETED,1
45,28,2024-02-25 10:00:00,2024-02-25 09:57:00,3,COMPLETED,1
46,1,2024-05-10 16:00:00,2024-05-10 15:57:00,3,COMPLETED,1
47,25,2024-06-07 14:00:00,2024-06-07 13:57:00,3,COMPLETED,1
48,12,2024-07-26 13:00:00,2024-07-26 12:57:00,3,COMPLETED,1
49,47,2024-02-12 19:00:00,2024-02-12 18:57:00,3,COMPLETED,1
50,17,2024-06-03 15:00:00,2024-06-03 14:57:00,3,COMPLETED,2
51,15,2024-05-14 16:00:00,2024-05-14 15:57:00,3,COMPLETED,1
52,24,2024-11-18 11:00:00,2024-11-18 10:57:00,3,COMPLETED,1
53,5,2024-02-18 15:00:00,2024-02-18 14:57:00,3,COMPLETED,1
54,25,2024-05-21 14:00:00,2024-05-21 13:57:00,3,COMPLETED,2
55,37,2024-09-25 12:00:00,2024-09-25 11:57:00,3,COMPLETED,2
56,43,2024-05-03 13:00:00,2024-05-03 12:57:00,3,COMPLETED,1
57,2,2024-10-23 14:00:00,2024-10-23 13:57:00,3,COMPLETED,2
58,4,2024-10-27 17:00:00,2024-10-27 16:57:00,3,COMPLETED,2
59,16,2024-02-23 16:00:00,2024-02-23 15:57:00,3,COMPLETED,1
60,46,2024-05-07 10:00:00,2024-05-07 09:57:00,3,COMPLETED,2
61,20,2024-11-12 11:00:00,2024-11-12 10:57:00,3,COMPLETED,1
62,42,2024-05-17 14:00:00,2024-05-17 13:57:00,3,COMPLETED,2
63,41,2024-09-20 14:00:00,2024-09-20 13:57:00,3,COMPLETED,1
64,3,2024-11-13 10:00:00,2024-11-13 09:57:00,3,COMPLETED,2
65,35,2024-01-11 12:00:00,2024-01-11 11:57:00,3,COMPLETED,1
66,21,2024-02-21 13:00:00,2024-02-21 12:57:00,3,COMPLETED,1
67,20,2024-11-01 17:00:00,2024-11-01 16:56:00,4,COMPLETED,4
68,50,2024-10-06 15:00:00,2024-10-06 14:56:00,4,COMPLETED,4
69,42,2024-10-22 14:00:00,2024-10-22 13:56:00,4,COMPLETED,4
70,41,2024-04-04 19:00:00,2024-04-04 18:56:00,4,COMPLETED,4
71,34,2024-10-29 19:00:00,2024-10-29 18:56:00,4,COMPLETED,4
72,11,2024-05-01 17:00:00,2024-05-01 16:56:00,4,COMPLETED,4
73,45,2024-04-21 11:00:00,2024-04-21 10:56:00,4,COMPLETED,4
74,48,2024-12-20 16:00:00,2024-12-20 15:53:00,7,COMPLETED,3
75,26,2024-05-30 16:00:00,2024-05-30 15:53:00,7,COMPLETED,5
76,22,2024-12-10 12:00:00,2024-12-10 11:50:00,10,COMPLETED,5
77,43,2024-05-22 10:00:00,2024-05-22 09:50:00,10,COMPLETED,8
78,16,2024-11-07 17:00:00,2024-11-07 16:50:00,10,COMPLETED,9
