id,item_name,path,request_time,status,employee_id,number_of_obstacles
1,Headphone,PATH2,2024-09-15 06:47:27,FULFILLED,1,10
2,Printer,PATH1,2024-10-19 14:45:22,PENDING,1,4
3,Laptop,PATH3,2024-09-28 11:30:18,PENDING,1,10
4,Printer,PATH3,2024-11-02 07:25:42,FULFILLED,1,1
5,Laptop,PATH2,2024-11-03 21:47:30,PENDING,1,7
6,Tablet,PATH1,2024-11-27 10:27:59,FULFILLED,1,7
7,Speaker,PATH1,2024-09-05 03:47:22,FULFILLED,1,3
8,Mouse,PATH3,2024-09-13 15:32:31,FULFILLED,1,8
9,Printer,PATH1,2024-09-19 14:47:19,PENDING,1,7
10,Tablet,PATH2,2024-09-29 06:59:15,PENDING,1,9
11,Tablet,PATH3,2024-11-26 05:50:55,PENDING,1,2
12,Printer,PATH3,2024-10-28 08:52:48,FULFILLED,1,4
13,Printer,PATH3,2024-09-09 06:36:51,PENDING,1,3
14,Headphone,PATH1,2024-09-14 14:23:25,FULFILLED,1,10
15,Laptop,PATH3,2024-09-10 05:27:04,PENDING,1,2
16,Tablet,PATH2,2024-10-04 03:37:37,PENDING,1,10
17,Laptop,PATH1,2024-09-30 12:41:17,FULFILLED,1,8
18,Tablet,PATH1,2024-09-05 20:40:17,FULFILLED,1,8
19,Mouse,PATH2,2024-09-20 20:50:10,FULFILLED,1,8
20,Printer,PATH2,2024-11-29 10:25:08,FULFILLED,1,6
21,Monitor,PATH2,2024-10-17 14:59:24,FULFILLED,1,8
22,Laptop,PATH3,2024-11-17 02:05:19,FULFILLED,1,4
23,Printer,PATH3,2024-09-29 12:34:38,FULFILLED,1,10
24,Laptop,PATH2,2024-11-02 02:19:20,PENDING,1,4
25,Speaker,PATH3,2024-09-15 02:09:56,PENDING,1,2
26,Mouse,PATH2,2024-09-21 23:15:09,FULFILLED,1,8
27,Printer,PATH2,2024-10-18 16:29:35,FULFILLED,1,10
28,Mouse,PATH2,2024-10-09 06:53:09,FULFILLED,1,0
29,Headphone,PATH1,2024-09-04 04:37:37,PENDING,1,10
30,Printer,PATH1,2024-11-05 10:44:53,FULFILLED,1,5
31,Printer,PATH1,2024-09-04 12:46:48,PENDING,1,8
32,Monitor,PATH2,2024-09-17 06:00:53,FULFILLED,1,8
33,Tablet,PATH2,2024-10-10 12:01:08,FULFILLED,1,4
34,Printer,PATH2,2024-10-26 07:16:00,FULFILLED,1,8
35,Mouse,PATH1,2024-09-09 01:03:40,PENDING,1,9
36,Laptop,PATH3,2024-12-01 14:52:31,PENDING,1,4
37,Mouse,PATH3,2024-09-15 17:56:55,FULFILLED,1,6
38,Speaker,PATH2,2024-11-06 19:06:10,FULFILLED,1,9
39,Headphone,PATH2,2024-11-15 19:43:04,FULFILLED,1,5
40,Monitor,PATH1,2024-10-27 15:51:57,FULFILLED,1,10
41,Printer,PATH2,2024-10-12 04:08:16,FULFILLED,1,4
42,Monitor,PATH1,2024-09-23 07:43:18,PENDING,1,1
43,Monitor,PATH2,2024-09-25 00:27:05,FULFILLED,1,3
44,Monitor,PATH3,2024-10-18 18:31:30,PENDING,1,7
45,Tablet,PATH1,2024-10-24 01:46:52,FULFILLED,1,2
46,Laptop,PATH1,2024-09-11 06:53:08,FULFILLED,1,3
47,Printer,PATH2,2024-10-21 00:53:03,FULFILLED,1,6
48,Printer,PATH1,2024-11-18 22:25:54,FULFILLED,1,0
49,Printer,PATH1,2024-11-28 21:14:09,FULFILLED,1,7
50,Tablet,PATH1,2024-11-21 21:55:15,FULFILLED,1,9
51,Monitor,PATH3,2024-10-03 07:43:33,PENDING,1,10
52,Headphone,PATH2,2024-10-11 14:48:18,FULFILLED,1,1
53,Monitor,PATH1,2024-09-08 12:21:18,FULFILLED,1,7
54,Laptop,PATH1,2024-11-14 22:16:18,FULFILLED,1,2
55,Headphone,PATH1,2024-10-22 22:04:27,FULFILLED,1,8
56,Monitor,PATH1,2024-10-10 07:26:20,FULFILLED,1,4
57,Laptop,PATH3,2024-09-09 03:58:25,FULFILLED,1,4
58,Laptop,PATH1,2024-11-20 01:30:16,FULFILLED,1,9
